"P0001000";"GOK-Root";"Geschichte";"lkl=p?";"History"
"P1937000";"P1929000";"Hispanic Americans";"lkl=pvm 370 and (thm=latin? or thm=span? or thm=hispan?)";"Hispanic Americans"
"P1938000";"P1929000";"Frauen";"lkl=pvm 380";"Women"
"P1939000";"P1929000";"Afroamerikanerinnen";"lkl=pvm 380 and (thm=african? or thm=black? or thm=schwarz?)";"African-American Women"
"P1940000";"P1929000";"Frauenwahlrecht";"lkl=pvm 380 and (thm=suffrage? or thm=vot? or thm=wahl?)";"Women's suffrage"
"P1941000";"P1905000";"Wirtschaft";"lkl=pvm 4?";"Economy"
"P1942000";"P1941000";"Wirtschaft allgemein";"lkl=pvm 400";"Economy in general"
"P1943000";"P1941000";"Agrargeschichte";"lkl=pvm 420";"Agriculture"
"P1944000";"P1941000";"Industrialisierung";"lkl=pvm 440";"Industrialisation"
"P1945000";"P1905000";"Kultur";"lkl=pvm 500";"Culture"
"P1946000";"P1945000";"Medien- und Kommunikation";"lkl=pvm 5? and (thm=media? or thm=book? or thm=communic? or thm=print?)";"Media and Communication"
"P1947000";"P1945000";"Kirche und Frömmigkeit";"lkl=pvm 570";"Church and Piety"
"P1948000";"P1905000";"Regionalgeschichte";"lkl=pvm 600 or (ddc=974.03? or ddc=974.041? or ddc=975.03? or ddc=975.041? or ddc=976.03? or ddc=976.041? or ddc=977.02? or ddc=977.031 or ddc=978.02? or ddc=979.02?)";"Regional Studies"
"P1949000";"P1948000";"Maine, New Hampshire und Vermont";"(lkl=pvm 600 and (thm=maine or thm=hamsphire or thm=vermont)) or (ddc=974.103? or ddc=974.10401? or ddc=974.203? or ddc=974.2041? or ddc=974.303? or ddc=974.3041?)";"Maine, New Hampshire and Vermont"
"P1950000";"P1948000";"Massachusetts";"(lkl=pvm 600 and thm=massachusetts) or (ddc=974.403? or ddc=974.4041?)";"Massachusetts"
"P1951000";"P1948000";"Rhode Island, Connecticut";"(lkl=pvm 600 and (thm=rhode or thm=connecticut)) or (ddc=974.403? or ddc=974.4041? or ddc=974.503? or ddc=974.5041?)";"Rhode Island, Connecticut"
"P1952000";"P1948000";"New York";"(lkl=pvm 600 and thm=new york) or (ddc=974.703? or ddc=974.7041?)";"New York"
"P1953000";"P1948000";"Pennsylvania, New Jersey";"(lkl=pvm 600 and (thm=pennsylvania or thm=new jersey)) or (ddc=974.803? or ddc=974.8041? or ddc=974.903? or ddc=974.9041?)";"Pennsylvania, New Jersey"
"P1954000";"P1948000";"Südoststaaten";"lkl=pvm 600 and (thm=delaware or thm=maryland or thm=washington or thm=virginia or thm=carolina or thm=georgia or thm=florida)";"South-Eastern states"
"P1955000";"P1948000";"Südstaaten";"lkl=pvm 600 and (thm=alabama or thm=mississippi or thm=louisiana or thm=texas or thm=oklahoma or thm=arkansas or thm=tennessee or thm=kentucky)";"Southern states"
"P1956000";"P1948000";"Nordstaaten";"lkl=pvm 600 and (thm=ohio or thm=indiana or thm=illinois or thm=michigan or thm=wisconsin or thm=minnesota or thm=iowa or thm=missouri)";"Northern states"
"P1957000";"P1948000";"Weststaaten";"lkl=pvm 600 and (thm=kansas or thm=nebraska or thm=dakota or thm=montana or thm=wyoming or thm=colorado or thm=mexico)";"Western states"
"P1958000";"P1948000";"Südweststaaten";"lkl=pvm 600 and (thm=arizona or thm=utah or thm=nevada or thm=california or thm=oregon or thm=idaho or thm=washington or thm=alaska)";"South-Western states"
"P1959000";"P1948000";"Expansion nach Westen";"lkl=pvm 620";"West expansion"
"P1960000";"P1905000";"Stadt- und Ortsgeschichte";"lkl=pvm 700";"Local History"
"P1961000";"P1905000";"Personen";"lkl=pvm 800";"Biographies"
"P1962000";"P1961000";"Jefferson, Thomas";"lkl=pvm 800 and thm=jefferson";"Jefferson, Thomas"
"P1963000";"P1961000";"Hamilton, Alexander";"lkl=pvm 800 and thm=hamilton";"Hamilton, Alexander"
"P1964000";"P1961000";"Lincoln, Abraham";"lkl=pvm 800 and thm=lincoln";"Lincoln, Abraham"
"P1965000";"P1961000";"Lee, Robert E.";"lkl=pvm 800 and thm=lee";"Lee, Robert E."
"P1966000";"P1961000";"Grant, Ulysses S.";"lkl=pvm 800 and thm=grant";"Grant, Ulysses S."
"P1967000";"P1961000";"Douglass, Frederick";"lkl=pvm 800 and thm=douglass";"Douglass, Frederick"
"P1968000";"P1961000";"Roosevelt, Theodore";"lkl=pvm 800 and thm=theodore roosevelt";"Roosevelt, Theodore"
"P1969000";"P1961000";"Wilson, Woodrow";"(lkl=pvm 800 or lkl=pvo 800) and thm=woodrow wilson";"Wilson, Woodrow"
"P1970000";"P1905000";"Sonstiges; Einzelbeiträge";"lkl=pvm 900";"Miscellaneous"
"P1971000";"P1773000";"Geschichte der USA im 20. Jahrhundert ";"lkl=pvn? or lkl=pvo? or lkl=pvp?";"The USA in the 20th Century "
"P1971500";"P1971000";"Nachschlagewerke, Handbücher ";"lkl=pvn 000";"Factual Reference Works, Handbooks "
"P1972000";"P1971000";"Quellen";"((lkl=pvn 1? or lkl=pvo 1? or lkl=pvp 1?) or ddc=973.9?) and thm=source?";"Primary Sources "
"P1973000";"P1971000";"Quellen: übergreifende Sammlungen";"lkl=pvn 100 or lkl=pvo 100 or lkl=pvp 100";"Primary Sources: comprehensive collections"
"P1974000";"P1971000";"Quellen: Spezialsammlungen";"lkl=pvn 150 or lkl=pvo 150 or lkl=pvp 150";"Primary Sources: special collections"
"P1975000";"P1971000";"Quellen: Briefe";"((lkl=pvn 1? or lkl=pvo 1? or lkl=pvp 1?) or ddc=973.9?) and (thm=brief? or thm=letter? or thm=correspond?)";"Primary Sources: Letters"
"P1976000";"P1971000";"Quellen: Tagebücher";"((lkl=pvn 1? or lkl=pvo 1? or lkl=pvp 1?) or ddc=973.9?) and (thm=diari? or thm=journal? or thm=tageb?)";"Primary Sources: Journals"
"P1977000";"P1971000";"Politische Geschichte";"(lkl=pvn 200 or lkl=pvn 900) or ddc=973.9";"Political History"
"P1978000";"P1977000";"Außenpolitik";"lkl=pvn 205 or (ddc=973.9 and thm=foreign?)";"Foreign Policy"
"P1979000";"P1977000";"Innenpolitik";"lkl=pvn 210";"Domestic Policy"
"P1980000";"P1977000";"Militärgeschichte";"lkl=pvn 250";"Military History"
"P1981000";"P1977000";"Parteien";"lkl=pvn 270";"Political Parties"
"P1982000";"P1971000";"Indianer";"lkl=pvn 260";"Native Americans"
"P1983000";"P1971000";"Gesellschaft";"lkl=pvn 300";"Society"
"P1984000";"P1983000";"Rassendiskriminierung";"lkl=pvn 360";"Racial Discrimination"
"P1985000";"P1983000";"Immigration und Minderheiten";"lkl=pvn 370";"Immigration and Minorities"
"P1986000";"P1983000";"Frauen";"lkl=pvn 380";"Women"
"P1987000";"P1971000";"Wirtschaft";"lkl=pvn 400";"Economy"
"P1988000";"P1971000";"Kultur";"lkl=pvn 500";"Culture"
"P1989000";"P1988000";"Kirche und Frömmigkeit";"lkl=pvn 570";"Church and Piety"
"P1990000";"P1988000";"Medien- und Kommunikation";"lkl=pvn 5? and (thm=media? or thm=communication? or thm=print?)";"Media and Communication"
"P1991000";"P1988000";"Filmgeschichte";"lkl=pvn 5? and (thm=film? or thm=cinema? or thm=motion pict? or thm=kino?)";"History of Film"
"P1992000";"P1971000";"Regionalgeschichte";"lkl=pvn 600 or (ddc=974.042? or ddc=974.043? or ddc=974.044? or ddc=975.042? or ddc=975.043? or ddc=975.044? or ddc=976.04? or ddc=977.03? or ddc=978.03? or ddc=979.03?)";"Regional Studies"
"P1993000";"P1992000";"Maine, New Hampshire und Vermont";"(lkl=pvn 600 and (thm=maine or thm=hamsphire or thm=vermont)) or (ddc=974.104? or 974.204? or 974.304?)";"Maine, New Hampshire and Vermont"
"P1994000";"P1992000";"Massachusetts";"(lkl=pvn 600 and thm=massachusetts) or ddc=974.404?";"Massachusetts"
"P1995000";"P1992000";"Rhode Island, Connecticut";"(lkl=pvn 600 and (thm=rhode or thm=connecticut)) or (ddc=974.404? or ddc=974.504?)";"Rhode Island, Connecticut"
"P1996000";"P1992000";"New York";"(lkl=pvn 600 and thm=new york) or (ddc=974.7042? or ddc=974.7043? or ddc=974.0744?)";"New York"
"P1997000";"P1992000";"Pennsylvania, New Jersey";"(lkl=pvm 600 and (thm=pennsylvania or thm=new jersey)) or (ddc=974.803? or ddc=974.8041? or ddc=974.903? or ddc=974.9041?)";"Pennsylvania, New Jersey"
"P1998000";"P1992000";"Südoststaaten";"lkl=pvn 600 and (thm=delaware or thm=maryland or thm=washington or thm=virginia or thm=carolina or thm=georgia or thm=florida)";"South-Eastern states"
"P1999000";"P1992000";"Südstaaten";"lkl=pvn 600 and (thm=alabama or thm=mississippi or thm=louisiana or thm=texas or thm=oklahoma or thm=arkansas or thm=tennessee or thm=kentucky)";"Southern states"
"P2000000";"P1992000";"Nordstaaten";"lkl=pvn 600 and (thm=ohio or thm=indiana or thm=illinois or thm=michigan or thm=wisconsin or thm=minnesota or thm=iowa or thm=missouri)";"Northern states"
"P2001000";"P1992000";"Weststaaten";"lkl=pvn 600 and (thm=kansas or thm=nebraska or thm=dakota or thm=montana or thm=wyoming or thm=colorado or thm=mexico)";"Western states"
"P2002000";"P1992000";"Südweststaaten";"lkl=pvn 600 and (thm=arizona or thm=utah or thm=nevada or thm=california or thm=oregon or thm=idaho or thm=washington or thm=alaska)";"South-Western states"
"P2003000";"P1971000";"Stadt- und Ortsgeschichte";"lkl=pvn 700";"Local History"
"P2004000";"P1971000";"Personen";"lkl=pvn 800";"Biographies"
"P2005000";"P1773000";"Geschichte der USA 1918-1945 ";"lkl=pvo?";"The USA 1918-1945 "
"P2005500";"P2005000";"Nachschlagewerke, Handbücher ";"lkl=pvo 000";"Factual Reference Works, Handbooks "
"P2006000";"P2005000";"Quellen";"lkl=pvo 1? or (ddc=973.91? and thm=source?)";"Primary Sources "
"P2007000";"P2005000";"Politische Geschichte";"(lkl=pvo 200 or lkl=pvo 900) or ddc=973.91?";"Political History"
"P2008000";"P2007000";"Außenpolitik";"lkl=pvo 205 or (ddc=973.91? and thm=foreign)";"Foreign Policy"
"P2009000";"P2007000";"Innenpolitik";"lkl=pvo 210";"Domestic Policy"
"P2010000";"P2007000";"Militärgeschichte";"lkl=pvo 250";"Military History"
"P2011000";"P2007000";"Parteien";"lkl=pvo 270";"Political Parties"
"P2012000";"P2005000";"Indianer";"lkl=pvo 260";"Native Americans"
"P2013000";"P2005000";"Gesellschaft";"lkl=pvo 300";"Society"
"P2014000";"P2013000";"Rassendiskriminierung";"lkl=pvo 360";"Racial Discrimination"
"P2015000";"P2013000";"Immigration und Minderheiten";"lkl=pvo 370";"Immigration and Minorities"
"P2016000";"P2013000";"Frauen";"lkl=pvo 380";"Women"
"P2017000";"P2005000";"Wirtschaft";"lkl=pvo 400";"Economy"
"P2018000";"P2017000";"Great Depression und New Deal";"lkl=pvo 410";"Great Depression and New Deal"
"P2019000";"P2017000";"Agrargeschichte";"lkl=pvo 420";"Agrariculture"
"P2020000";"P2017000";"Industrialisierung";"lkl=pvo 440";"Industrialisation"
"P2021000";"P2005000";"Kultur";"lkl=pvo 500";"Culture"
"P2022000";"P2021000";"Kirche und Frömmigkeit";"lkl=pvo 570";"Church and Piety"
"P2023000";"P2005000";"Regionalgeschichte";"lkl=pvo 600 or ddc=(974.42? or 975.42? or 976.42? or 977.32? or 978.32? or 979.32?)";"Regional Studies"
"P2024000";"P2005000";"Stadt- und Ortsgeschichte";"lkl=pvo 700";"Local History"
"P2025000";"P2005000";"Personen";"lkl=pvo 800";"Biographies"
"P2026000";"P2025000";"Roosevelt, Franklin D.";"((lkl=pvo 800 or ddc=973.91?) and thm=roosevelt?) not thm=theodore?";"Roosevelt, Franklin D."
"P2027000";"P1773000";"Geschichte der USA 1945- ";"lkl=pvp?";"The USA 1945- "
"P2027500";"P2027000";"Nachschlagewerke, Handbücher ";"lkl=pvp 000";"Factual Reference Works, Handbooks "
"P2028000";"P2027000";"Quellen";"lkl=pvp 1? or ((ddc=973.92? or 973.93?) and thm=source?)";"Primary Sources "
"P2029000";"P2027000";"Politische Geschichte";"lkl=pvp 200 or lkl=pvp 900 or ddc=973.92? or ddc=973.93?";"Political History"
"P2030000";"P2029000";"Außenpolitik";"(lkl=pvp 205 or lkl=pvp 225 or lkl=pvp 245 or lkl=pvp 285) or ((ddc=973.92? or ddc=973.93?) and thm=foreign?)";"Foreign Policy"
"P2031000";"P2029000";"Militärgeschichte";"lkl=pvp 208";"Military History"
"P2032000";"P2029000";"Innenpolitik";"lkl=pvp 210";"Domestic Policy"
"P2033000";"P2029000";"Wahlen";"lkl=pvp 210 and (thm=election? or thm=wahl?)";"Elections"
"P2034000";"P2029000";"Parteien";"lkl=pvp 217";"Political Parties"
"P2035000";"P2027000";"1945-1961";"lkl=pvp 220";"1945-1961"
"P2036000";"P2035000";"Außenpolitik";"lkl=pvp 225";"Foreign Policy"
"P2037000";"P2035000";"Koreakrieg";"lkl=pvp 227";"Korean War"
"P2038000";"P2035000";"Innenpolitik";"lkl=pvp 230";"Domestic Policy"
"P2039000";"P2035000";"Wahlen";"lkl=pvp 230 and (thm=election? or thm=wahl?)";"Elections"
"P2040000";"P2027000";"1961-1989";"lkl=pvp 240";"1961-1989"
"P2041000";"P2040000";"Außenpolitik";"lkl=pvp 245";"Foreign Policy"
"P2042000";"P2040000";"Vietnamkrieg";"lkl=pvp 247";"VietnamWar"
"P2043000";"P2040000";"Golfkrieg";"lkl=pvp 248";"Gulf War"
"P2044000";"P2040000";"Sonstige militärischen Konflikte";"lkl=pvp 249";"Other Military Conflicts"
"P2045000";"P2040000";"Innenpolitik";"lkl=pvp 250";"Domestic Policy"
"P2046000";"P2040000";"Wahlen";"lkl=pvp 250 and (thm=election? or thm=wahl?)";"Elections"
"P2047000";"P2027000";"1989-";"lkl=pvp 280";"1989-"
"P2048000";"P2047000";"Außenpolitik";"lkl=pvp 285";"Foreign Policy"
"P2049000";"P2047000";"11. September und Terrorismus";"lkl=pvp 287";"9/11 and Terrorism"
"P2050000";"P2047000";"Irakkrieg 2003-";"lkl=pvp 288";"War in Iraq 2003-"
"P2051000";"P2047000";"Afghanistankrieg";"lkl=pvp 289";"War in Afghanistan"
"P2052000";"P2047000";"Innenpolitik";"lkl=pvp 290";"Domestic Policy"
"P2053000";"P2047000";"Wahlen";"lkl=pvp 290 and (thm=election? or thm=wahl?)";"Elections"
"P2054000";"P2027000";"Indianer";"lkl=pvp 260";"Native Americans"
"P2055000";"P2027000";"Gesellschaft";"lkl=pvp 300";"Society"
"P2056000";"P2055000";"Rassendiskriminierung";"lkl=pvp 360";"Racial Discrimination"
"P2057000";"P2055000";"Immigration und Minderheiten";"lkl=pvp 370";"Immigration and Minorities"
"P2058000";"P2055000";"Frauen";"lkl=pvp 380";"Women"
"P2059000";"P2027000";"Wirtschaft";"lkl=pvp 400";"Economy"
"P2060000";"P2059000";"Agrargeschichte";"lkl=pvp 420";"Agriculture"
"P2061000";"P2059000";"Geschichte der Produktion";"lkl=pvp 440";"History of Production"
"P2062000";"P2059000";"Finanz- und Handelsgeschichte";"lkl=pvp 460";"History of Finance and Trade"
"P2063000";"P2027000";"Kultur";"lkl=pvp 500";"Culture"
"P2064000";"P2063000";"Kirche und Frömmigkeit";"lkl=pvp 570";"Church and Piety"
"P2065000";"P2027000";"Regionalgeschichte";"lkl=pvp 600";"Regional Studies"
"P2066000";"P2027000";"Stadt- und Ortsgeschichte";"lkl=pvp 700";"Local History"
"P2067000";"P2027000";"Personen";"lkl=pvp 800";"Biographies"
"P2068000";"P2067000";"Kennedy, John F.";"lkl=pvp 800 and thm=john f. kennedy";"Kennedy, John F."
"P2069000";"P2067000";"King, Martin L.";"lkl=pvp 800 and thm=martin l. king";"King, Martin L."
"P2070000";"P2067000";"Reagan, Ronald";"lkl=pvp 800 and thm=reagan";"Reagan, Ronald"
"P2071000";"P2067000";"Obama, Barack";"lkl=pvp 800 and thm=obama";"Obama, Barack"
"P2072000";"P0001000";"Geschichte Mittel- und Lateinamerikas";"(lkl=pvs? or lkl=pvt? or lkl=pvu? or lkl=pvw? or lkl=pvx?) or ddc=98?";"History of Central and Latin America"
"P2073000";"P2072000";"Geschichte Lateinamerikas";"lkl=pvs 000";"History of Latin America"
"P2074000";"P2073000";"Politische Geschichte";"lkl=pvs 0? not lkl=pvs 000";"Political History"
"P2075000";"P2073000";"Geschichte Lateinamerikas (bis zur Unabhängigkeit)";"lkl=pvs 2?";"Latin America (Until Independence)"
"P2076000";"P2073000";"Geschichte Lateinamerikas im 19. und 20. Jahrhundert";"lkl=pvs 4?";"Latin America in the 19th and 20th Century"
"P2077000";"P2073000";"Geschichte Mittelamerikas";"lkl=pvt 0?";"Central America"
"P2078000";"P2073000";"Geschichte Mittelamerikas (bis zur Unabhängigkeit)";"lkl=pvt 2?";"Central America (Until Independence)"
"P2079000";"P2073000";"Geschichte Mittelamerikas im 19. und 20. Jahrhundert";"lkl=pvt 4?";"Central America in the 19th and 20th Century"
"P2080000";"P2072000";"Kuba und Karibik allgemein";"lkl=pvu 000 or lkl=pvu 020 or lkl=pvu 040 or lkl=pvu 060";"Cuba and the Carribean in general"
"P2081000";"P2072000";"Haiti und Dominikanische Republik";"lkl=pvu 100 or lkl=pvu 120 or lkl=pvu 140";"Haiti and Dominican Republic"
"P2082000";"P2072000";"Kleinere karibische und westindische Inseln";"lkl=pvu 15?";"Minor Carribean and West-Indian Islands"
"P2083000";"P2072000";"Mexiko";"lkl=pvu 2?";"Mexico"
"P2084000";"P2072000";"Guatemala";"lkl=pvu 300";"Guatemala"
"P2085000";"P2072000";"Belize";"lkl=pvu 350";"Belize"
"P2086000";"P2072000";"Honduras";"lkl=pvu 400";"Honduras"
"P2087000";"P2072000";"El Salvador";"lkl=pvu 500";"El Salvador"
"P2088000";"P2072000";"Nicaragua";"lkl=pvu 600";"Nicaragua"
"P2089000";"P2072000";"Costa-Rica";"lkl=pvu 700";"Costa Rica"
"P2090000";"P2072000";"Panama";"lkl=pvu 800";"Panama"
"P2091000";"P2072000";"Kolumbien";"lkl=pvx 000 or lkl=pvx 020 or lkl=pvx 040";"Columbia"
"P2092000";"P2072000";"Venezuela";"lkl=pvx 100 or lkl=pvx 120 or lkl=pvx 140";"Venezuela"
"P2093000";"P2072000";"Guyana";"lkl=pvx 200";"Guyana"
"P2094000";"P2072000";"Surinam";"lkl=pvx 220";"Surinam"
"P2095000";"P2072000";"Französisch-Guyana";"lkl=pvx 240";"French Guyana"
"P2096000";"P2072000";"Ecuador";"lkl=pvx 300 or lkl=pvx 320 or lkl=pvx 340";"Ecuador"
"P2097000";"P2072000";"Peru";"lkl=pvx 400 or lkl=pvx 420 or lkl=pvx 440";"Peru"
"P2098000";"P2072000";"Brasilien";"lkl=pvx 500 or lkl=pvx 520 or lkl=pvx 540";"Brazil"
"P2099000";"P2072000";"Bolivien";"lkl=pvx 600 or lkl=pvx 620 or lkl=pvx 640";"Bolivia"
"P2100000";"P2072000";"Paraguay";"lkl=pvx 700 or lkl=pvx 720 or lkl=pvx 740";"Paraguay"
"P2101000";"P2072000";"Uruguay";"lkl=pvx 750 or lkl=pvx 770 or lkl=pvx 790";"Uruguay"
"P2102000";"P2072000";"Argentinien";"lkl=pvx 800 or lkl=pvx 820 or lkl=pvx 840";"Argentinia"
"P2103000";"P2072000";"Chile";"lkl=pvx 900 or lkl=pvx 920 or lkl=pvx 940";"Chile"
"P2104000";"P0001000";"Geschichte Afrikas";"lkl=pw? or ddc=96?";"History of Africa"
"P2105000";"P2104000";"Geschichte Afrikas: übergreifende Darstellungen";"lkl=pw 000";"History of Africa: Comprehensive Histories"
"P2106000";"P2105000";"Politische Geschichte";"lkl=pw 100 or lkl=pw 200 or lkl=pw 300 or lkl=pw 400 or lkl=pw 500 or lkl=pw 900";"Political History"
"P2107000";"P2105000";"Geschichte Afrikas vor der Kolonialisierung";"lkl=pwa?";"Africa before Colonisation"
"P2108000";"P2105000";"Geschichte Afrikas in der Kolonialzeit";"lkl=pwb?";"Africa in the Colonial period"
"P2109000";"P2105000";"Geschichte Afrikas nach der Kolonialzeit";"lkl=pwc?";"Africa after the Colonial period"
"P2110000";"P2104000";"Geschichte Nordafrikas";"lkl=pwd?";"History of North Africa"
"P2111000";"P2104000";"Ägypten";"lkl=pwe 000";"Egypt"
"P2112000";"P2111000";"Quellen";"lkl=pwe 100";"Primary Sources "
"P2113000";"P2111000";"Politische Geschichte  (vor dem Islam)";"lkl=pwe 210";"Political History (before Islam)"
"P2114000";"P2111000";"Politische Geschichte  (632-1517)";"lkl=pwe 220";"Political History (632-1517)"
"P2115000";"P2111000";"Politische Geschichte  (1517-1798)";"lkl=pwe 230";"Political History (1517-1798)"
"P2116000";"P2111000";"Politische Geschichte  (1798-1882)";"lkl=pwe 240";"Political History (1798-1882)"
"P2117000";"P2111000";"Politische Geschichte  (1882-1952)";"lkl=pwe 250";"Political History (1882-1952)"
"P2118000";"P2111000";"Politische Geschichte  (1952-)";"lkl=pwe 260";"Political History (1952-)"
"P2119000";"P2104000";"Libyen";"lkl=pwf?";"Libya"
"P2120000";"P2104000";"Tunesien";"lkl=pwg?";"Tunesia"
"P2121000";"P2104000";"Algerien";"lkl=pwh?";"Algeria"
"P2122000";"P2104000";"Marokko";"lkl=pwi?";"Morocco"
"P2123000";"P2104000";"Spanisch-Westafrika";"lkl=pwj?";"Spanish-West Africa"
"P2124000";"P2104000";"Geschichte Afrikas südlich der Sahara";"lkl=pwl?";"History of Africa south of the Sahara"
"P2125000";"P2104000";"Somalia";"lkl=pwm 000";"Somalia"
"P2126000";"P2104000";"Äthiopien";"lkl=pwm 100";"Ethiopia"
"P2127000";"P2104000";"Sudan";"lkl=pwm 200";"Sudan"
"P2128000";"P2104000";"Tschad";"lkl=pwm 300";"Chad"
"P2129000";"P2104000";"Niger";"lkl=pwm 400";"Niger"
"P2130000";"P2104000";"Mali";"lkl=pwm 500";"Mali"
"P2131000";"P2104000";"Mauretanien";"lkl=pwm 600";"Mauritania"
"P2132000";"P2104000";"Kap Verde";"lkl=pwo 000";"Cape Verde"
"P2133000";"P2104000";"Senegal";"lkl=pwo 100";"Senegal"
"P2134000";"P2104000";"Gambia";"lkl=pwo 200";"Gambia"
"P2135000";"P2104000";"Guinea-Bissau";"lkl=pwo 250";"Guinea-Bissau"
"P2136000";"P2104000";"Guinea";"lkl=pwo 300";"Guinea"
"P2137000";"P2104000";"Sierra Leone";"lkl=pwo 400";"Sierra Leone"
"P2138000";"P2104000";"Liberia";"lkl=pwo 450";"Liberia"
"P2139000";"P2104000";"Elfenbeinküste";"lkl=pwo 500";"Ivory Coast"
"P2140000";"P2104000";"Obervolta";"lkl=pwo 600";"The Upper Volta"
"P2141000";"P2104000";"Ghana";"lkl=pwo 700";"Ghana"
"P2142000";"P2104000";"Togo";"lkl=pwo 800";"Togo"
"P2143000";"P2104000";"Benin";"lkl=pwo 900";"Benin"
"P2144000";"P2104000";"Nigeria";"lkl=pwq 000";"Nigeria"
"P2145000";"P2104000";"Kamerun";"lkl=pwq 100";"Cameroon"
"P2146000";"P2104000";"Äquatorial-Guinea";"lkl=pwq 200";"Equatorial-Guinea"
"P2147000";"P2104000";"Gabun";"lkl=pwq 400";"Gabun"
"P2148000";"P2104000";"Kongo";"lkl=pwq 600";"Congo"
"P2149000";"P2104000";"Zaire";"lkl=pwr 000";"Zaire"
"P2150000";"P2104000";"Uganda";"lkl=pwr 100";"Uganda"
"P2151000";"P2104000";"Kenia";"lkl=pwr 200";"Kenya"
"P2152000";"P2104000";"Tansania";"lkl=pwr 300";"Tanzania"
"P2153000";"P2104000";"Rwanda";"lkl=pwr 400";"Rwanda"
"P2154000";"P2104000";"Burundi";"lkl=pwr 450";"Burundi"
"P2155000";"P2104000";"Madagaskar";"lkl=pwr 500";"Madagascar"
"P2156000";"P2104000";"Mocambique";"lkl=pwr 600";"Mozambique"
"P2157000";"P2104000";"Simbabwe";"lkl=pwr 700";"Zimbabwe"
"P2158000";"P2104000";"Sambia";"lkl=pwr 750";"Sambia"
"P2159000";"P2104000";"Angola";"lkl=pwr 800";"Angola"
"P2160000";"P2104000";"Botswana";"lkl=pwr 900";"Botswana"
"P2161000";"P2104000";"Namibia";"lkl=pwr 950";"Namibia"
"P2162000";"P2104000";"Südafrika";"lkl=pws 000";"South Africa"
"P2163000";"P2104000";"Inselstaaten";"lkl=pwt 000";"Insular states"
"P2164000";"P0001000";"Geschichte Australiens, Neuseelands und Ozeaniens";"lkl=px? or ddc=993? or ddc=994?";"History of Australia, New Zealand and Oceania"
"P2165000";"P2164000";"Geschichte Australiens, Neuseelands und Ozeaniens: übergreifende Darstellungen";"lkl=px 000";"History Australia, New Zealand and Oceania: Comprehensive Histories"
"P2166000";"P2165000";"Politische Geschichte, Gesellschaft, Wirtschaft, Kultur";"lkl=px 200 or lkl=px 300 or lkl=px 400 or lkl=px 500 or lkl=px 900";"Political History, Society, Economy, Culture"
